[0000011972ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000011988ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000012026ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000012044ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000012066ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000012100ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000012132ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000012146ns] mycpu : pc = 1c009004,  reg = 16, val = 00000056
[0000012232ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000012250ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000012284ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000012298ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000012330ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
